state_code,state_name,district_code,district_name,mukim_code,mukim_name,mukim_id
03,KELANTAN,01,BACHOK,11,KUCHELONG,1030001029
03,KELANTAN,01,BACHOK,16,PAK PURA,1030001030
03,KELANTAN,01,BACHOK,26,TANJONG JERING,1030001031
03,KELANTAN,01,BACHOK,30,TEMU RANGGAS,1030001032
03,KELANTAN,02,KOTA BHARU,03,BADAK,1030001033
03,KELANTAN,02,KOTA BHARU,07,BAUNG,1030001034
03,KELANTAN,02,KOTA BHARU,12,BETING,1030001035
03,KELANTAN,02,KOTA BHARU,15,BULOH POH,1030001036
03,KELANTAN,02,KOTA BHARU,21,CHICHA,1030001037
03,KELANTAN,02,KOTA BHARU,27,KADOK,1030001038
03,KELANTAN,02,KOTA BHARU,32,KEMUBU,1030001039
03,KELANTAN,02,KOTA BHARU,39,LANGGAR,1030000871
03,KELANTAN,02,KOTA BHARU,40,LEMBU,1030001041
03,KELANTAN,02,KOTA BHARU,47,MENTUAN,1030001042
03,KELANTAN,02,KOTA BHARU,50,PADANG ENGGANG,1030001043
03,KELANTAN,02,KOTA BHARU,55,PADANG TENGAH,1030001044
03,KELANTAN,02,KOTA BHARU,70,PULAU BELANGA,1030001047
03,KELANTAN,02,KOTA BHARU,76,SALOR,1030001048
03,KELANTAN,02,KOTA BHARU,79,SETERPA,1030001049
03,KELANTAN,02,KOTA BHARU,83,TELOK,1030001050
03,KELANTAN,02,KOTA BHARU,87,TOK KU,1030001051
03,KELANTAN,02,KOTA BHARU,91,BANDAR BARU KUBANG KERIAN,1030001585
03,KELANTAN,03,MACHANG,08,KERAWANG,1030001053
03,KELANTAN,04,PASIR MAS,01,ALOR BULOH,1030001056
03,KELANTAN,04,PASIR MAS,03,APA-APA,1030001057
03,KELANTAN,04,PASIR MAS,11,GELAM,1030001058
03,KELANTAN,04,PASIR MAS,16,JEJAWI,1030001867
03,KELANTAN,04,PASIR MAS,20,KEDONDONG,1030001059
03,KELANTAN,04,PASIR MAS,30,KUBANG SEPAT,1030001061
03,KELANTAN,04,PASIR MAS,35,LUBOK KAWAH,1030001062
03,KELANTAN,04,PASIR MAS,36,LUBOK TAPAH,1030001063
03,KELANTAN,04,PASIR MAS,38,MERANTI,1030001270
03,KELANTAN,04,PASIR MAS,39,PADANG EMBON,1030001064
03,KELANTAN,04,PASIR MAS,37,LUBOK SETOL,1030001278
03,KELANTAN,04,PASIR MAS,44,TELIAR,1030001065
03,KELANTAN,04,PASIR MAS,46,TOK SANGKOT,1030001067
03,KELANTAN,04,PASIR MAS,48,KUALA KELAR,1030001069
03,KELANTAN,04,PASIR MAS,50,BANDAR PASIR MAS,1030001070
03,KELANTAN,05,PASIR PUTEH,01,BANGGOL SETOL,1030001071
03,KELANTAN,05,PASIR PUTEH,02,BATU SEBUTIR,1030001072
03,KELANTAN,05,PASIR PUTEH,06,BUKIT MERBAU,1030001073
03,KELANTAN,05,PASIR PUTEH,14,GONG GARU,1030001075
03,KELANTAN,05,PASIR PUTEH,26,PASIR PUTEH,1030001076
03,KELANTAN,05,PASIR PUTEH,28,PERMATANG SUNGKAI,1030001077
03,KELANTAN,07,TUMPAT,12,KUTANG,1030001083
03,KELANTAN,07,TUMPAT,16,PALEKBANG,1030001084
03,KELANTAN,07,TUMPAT,24,TALAK,1030001086
03,KELANTAN,02,KOTA BHARU,02,BADAK MATI,1030001090
03,KELANTAN,07,TUMPAT,11,KOK KELI,1030001092
03,KELANTAN,01,BACHOK,12,LUBOK TEMBESU,1030001094
03,KELANTAN,01,BACHOK,09,KEMASIN,1030001446
03,KELANTAN,01,BACHOK,13,MAK LIPAH,1030001095
03,KELANTAN,01,BACHOK,14,MELAWI,1030001268
03,KELANTAN,03,MACHANG,13,MACHANG,1030001054
03,KELANTAN,01,BACHOK,15,NIPAH,1030001443
03,KELANTAN,01,BACHOK,17,PAUH SEMBILAN,1030001096
03,KELANTAN,01,BACHOK,19,PERUPOK,1030001444
03,KELANTAN,01,BACHOK,23,SERDANG,1030001868
03,KELANTAN,01,BACHOK,24,TAKANG,1030001100
03,KELANTAN,01,BACHOK,25,TANJONG,1030001101
03,KELANTAN,01,BACHOK,27,TANJONG PAUH,1030001102
03,KELANTAN,01,BACHOK,28,TELOK MESIRA,1030001103
03,KELANTAN,01,BACHOK,31,TEPUS,1030001104
03,KELANTAN,01,BACHOK,32,TUALANG SALAK,1030001105
03,KELANTAN,01,BACHOK,40,BANDAR BACHOK,1030001445
03,KELANTAN,01,BACHOK,70,PEKAN JELAWAT,1030001106
03,KELANTAN,02,KOTA BHARU,05,BANGGU,1030001108
03,KELANTAN,01,BACHOK,21,RUSA,1030001098
03,KELANTAN,02,KOTA BHARU,06,BANGGOL,1030001109
03,KELANTAN,02,KOTA BHARU,08,BAYANG,1030001110
03,KELANTAN,02,KOTA BHARU,09,BECHAH MULONG,1030001111
03,KELANTAN,02,KOTA BHARU,10,BETA HULU,1030001112
03,KELANTAN,02,KOTA BHARU,11,BETA HILIR,1030001113
03,KELANTAN,02,KOTA BHARU,13,BIAH,1030001114
03,KELANTAN,02,KOTA BHARU,14,BINJAI,1030001869
03,KELANTAN,02,KOTA BHARU,16,BUNUT PAYONG,1030001116
03,KELANTAN,02,KOTA BHARU,17,BUT,1030001117
03,KELANTAN,02,KOTA BHARU,19,CHEKOK,1030001118
03,KELANTAN,02,KOTA BHARU,84,TELOK BHARU,1030001586
03,KELANTAN,02,KOTA BHARU,23,DEMIT,1030001587
03,KELANTAN,02,KOTA BHARU,34,KENALI,1030001584
03,KELANTAN,10,KUALA KRAI,09,KUALA NAL,1030001249
03,KELANTAN,10,KUALA KRAI,40,BANDAR KUALA KRAI,1030001244
03,KELANTAN,02,KOTA BHARU,24,DUSON RENDAH,1030001120
03,KELANTAN,02,KOTA BHARU,25,GUNTONG,1030001121
03,KELANTAN,02,KOTA BHARU,26,JELUTONG,1030001122
03,KELANTAN,02,KOTA BHARU,28,KARANG,1030001123
03,KELANTAN,02,KOTA BHARU,29,KAMPONG SIREH,1030001124
03,KELANTAN,02,KOTA BHARU,30,KEDAI BULOH,1030001125
03,KELANTAN,02,KOTA BHARU,31,KIJANG,1030001590
03,KELANTAN,02,KOTA BHARU,35,KETEREH BARAT,1030001126
03,KELANTAN,02,KOTA BHARU,36,KETEREH TIMOR,1030001127
03,KELANTAN,02,KOTA BHARU,37,KOH,1030001128
03,KELANTAN,02,KOTA BHARU,38,KOTA,1030001870
03,KELANTAN,02,KOTA BHARU,41,LUBOK JAMBU,1030001130
03,KELANTAN,02,KOTA BHARU,42,LUBOK PUKOL,1030001131
03,KELANTAN,02,KOTA BHARU,43,LUNDANG,1030001132
03,KELANTAN,02,KOTA BHARU,44,LUNDANG PAKU,1030001133
03,KELANTAN,02,KOTA BHARU,45,MAHANG BARAT,1030001134
03,KELANTAN,02,KOTA BHARU,46,MAHANG TIMOR,1030001135
03,KELANTAN,02,KOTA BHARU,49,PADANG BONGOR,1030001136
03,KELANTAN,02,KOTA BHARU,51,PADANG GARONG,1030001137
03,KELANTAN,02,KOTA BHARU,52,PADANG LEBAN,1030001138
03,KELANTAN,02,KOTA BHARU,53,PADANG RAJA,1030001139
03,KELANTAN,02,KOTA BHARU,54,PADANG SAKAR,1030001140
03,KELANTAN,02,KOTA BHARU,56,PANCHOR,1030001141
03,KELANTAN,02,KOTA BHARU,57,PANGKAL PISANG,1030001142
03,KELANTAN,02,KOTA BHARU,59,PASIR HA,1030001143
03,KELANTAN,02,KOTA BHARU,60,PASIR MAS,1030001144
03,KELANTAN,02,KOTA BHARU,61,PATEK,1030001145
03,KELANTAN,02,KOTA BHARU,62,PAUH,1030001146
03,KELANTAN,02,KOTA BHARU,64,PENDEK,1030001147
03,KELANTAN,02,KOTA BHARU,65,PENGKALAN CHEPA,1030001148
03,KELANTAN,02,KOTA BHARU,67,PEROL,1030001149
03,KELANTAN,02,KOTA BHARU,68,PINTU GANG,1030001150
03,KELANTAN,02,KOTA BHARU,69,PULAU,1030001151
03,KELANTAN,02,KOTA BHARU,74,PULAU PISANG,1030001153
03,KELANTAN,02,KOTA BHARU,78,SERING,1030001154
03,KELANTAN,02,KOTA BHARU,80,TANJONG CHAT,1030001155
03,KELANTAN,02,KOTA BHARU,81,TAPANG,1030001156
03,KELANTAN,02,KOTA BHARU,86,TIONG,1030001157
03,KELANTAN,02,KOTA BHARU,88,WAKAF STAN,1030001158
03,KELANTAN,02,KOTA BHARU,89,WAKAF SIKU,1030001159
03,KELANTAN,02,KOTA BHARU,90,BANDAR KOTA BHARU,1030001160
03,KELANTAN,02,KOTA BHARU,95,PEKAN MULONG,1030001161
03,KELANTAN,03,MACHANG,01,BAGAN,1030001386
03,KELANTAN,03,MACHANG,04,GADING GALOH,1030001164
03,KELANTAN,03,MACHANG,06,JOH,1030001166
03,KELANTAN,03,MACHANG,07,KELAWEH,1030001167
03,KELANTAN,03,MACHANG,14,PADANG KEMUNCHUT,1030001170
03,KELANTAN,03,MACHANG,09,KERILLA,1030001168
03,KELANTAN,03,MACHANG,16,PEMANOK,1030001172
03,KELANTAN,03,MACHANG,12,LIMAU HANTU,1030001169
03,KELANTAN,03,MACHANG,40,BANDAR MACHANG,1030001175
03,KELANTAN,03,MACHANG,71,PEKAN TEMANGAN,1030001176
03,KELANTAN,04,PASIR MAS,02,ALOR PASIR,1030001271
03,KELANTAN,04,PASIR MAS,07,BECHAH PALAS,1030001178
03,KELANTAN,04,PASIR MAS,08,BECHAH SEMAK,1030001179
03,KELANTAN,03,MACHANG,21,TOK BOK,1030001174
03,KELANTAN,04,PASIR MAS,10,CHETOK,1030001180
03,KELANTAN,04,PASIR MAS,12,GUA,1030001871
03,KELANTAN,04,PASIR MAS,17,KANGKONG,1030001872
03,KELANTAN,04,PASIR MAS,18,KALA,1030001272
03,KELANTAN,04,PASIR MAS,19,KASA,1030001185
03,KELANTAN,04,PASIR MAS,21,KENAK,1030001186
03,KELANTAN,04,PASIR MAS,22,KERASAK,1030001187
03,KELANTAN,04,PASIR MAS,24,KUALA LEMAL,1030001188
03,KELANTAN,04,PASIR MAS,25,KUBANG BATANG,1030001189
03,KELANTAN,04,PASIR MAS,27,KUBANG GATAL,1030001190
03,KELANTAN,04,PASIR MAS,15,JABO,1030001183
03,KELANTAN,01,BACHOK,07,GUNONG,1030001027
03,KELANTAN,04,PASIR MAS,31,KUBANG TERAP,1030001193
03,KELANTAN,04,PASIR MAS,32,LALANG,1030001194
03,KELANTAN,04,PASIR MAS,33,LUBOK ANCHING,1030001195
03,KELANTAN,04,PASIR MAS,34,LUBOK GONG,1030001279
03,KELANTAN,04,PASIR MAS,40,PALOH,1030001196
03,KELANTAN,04,PASIR MAS,42,SAKAR,1030001197
03,KELANTAN,04,PASIR MAS,43,TASIK BERANGAN,1030001198
03,KELANTAN,04,PASIR MAS,60,BANDAR KECHIL RANTAU PANJANG,1030001281
03,KELANTAN,05,PASIR PUTEH,04,BUKIT ABAL BARAT,1030001199
03,KELANTAN,05,PASIR PUTEH,05,BUKIT ABAL TIMOR,1030001200
